Date,Open,High,Low,Close,Adj Close
2025-09-05,45656.48828125,45770.19921875,45211.78125,45400.859375,45400.859375
2025-09-08,45430.609375,45542.55859375,45277.73046875,45514.94921875,45514.94921875
2025-09-09,45547.62109375,45764.19921875,45433.51171875,45711.33984375,45711.33984375
2025-09-10,45731.5,45731.5,45380.05859375,45490.921875,45490.921875
2025-09-11,45577.08984375,46137.19921875,45577.08984375,46108.0,46108.0
2025-09-12,46077.140625,46077.140625,45813.9296875,45834.21875,45834.21875
2025-09-15,45848.390625,45978.4296875,45771.87890625,45883.44921875,45883.44921875
2025-09-16,45919.5390625,45967.109375,45667.421875,45757.8984375,45757.8984375
2025-09-17,45778.3984375,46261.94921875,45687.58984375,46018.3203125,46018.3203125
2025-09-18,46056.55078125,46317.51953125,45954.73046875,46142.421875,46142.421875
2025-09-19,46211.16015625,46396.46875,46105.01953125,46315.26953125,46315.26953125
2025-09-22,46206.69140625,46447.12890625,46035.828125,46381.5390625,46381.5390625
2025-09-23,46364.109375,46714.26953125,46217.578125,46292.78125,46292.78125
2025-09-24,46368.94140625,46453.0703125,46096.390625,46121.28125,46121.28125
2025-09-25,46097.4296875,46122.421875,45785.171875,45947.3203125,45947.3203125
2025-09-26,46101.44921875,46353.03125,46051.921875,46247.2890625,46247.2890625
2025-09-29,46306.33984375,46387.05859375,46149.05078125,46316.0703125,46316.0703125
2025-09-30,46282.62890625,46425.30078125,46103.390625,46397.890625,46397.890625
2025-10-01,46366.78125,46528.78125,46276.390625,46441.1015625,46441.1015625
2025-10-02,46461.109375,46589.30859375,46283.5703125,46519.71875,46519.71875
2025-10-03,46583.94921875,47049.640625,46566.87109375,46758.28125,46758.28125
2025-10-06,46776.0390625,46846.44921875,46426.9609375,46694.96875,46694.96875
2025-10-07,46700.8984375,46868.48828125,46448.01953125,46602.98046875,46602.98046875
2025-10-08,46649.3203125,46816.28125,46498.390625,46601.78125,46601.78125
2025-10-09,46622.30859375,46684.41015625,46271.3984375,46358.421875,46358.421875
2025-10-10,46394.87890625,46641.73828125,45470.71875,45479.6015625,45479.6015625
2025-10-13,45698.4609375,46153.48828125,45698.4609375,46067.578125,46067.578125
2025-10-14,45871.890625,46522.671875,45452.03125,46270.4609375,46270.4609375
2025-10-15,46375.171875,46693.33984375,46027.23046875,46253.30859375,46253.30859375
2025-10-16,46289.08984375,46422.33984375,45781.1796875,45952.23828125,45952.23828125
2025-10-17,45862.3984375,46327.0703125,45862.37109375,46190.609375,46190.609375
2025-10-20,46312.87890625,46759.26953125,46312.87890625,46706.578125,46706.578125
2025-10-21,46707.078125,47125.66015625,46688.25,46924.73828125,46924.73828125
2025-10-22,46941.55859375,46941.55859375,46461.51953125,46590.41015625,46590.41015625
2025-10-23,46519.12890625,46802.1484375,46490.05859375,46734.609375,46734.609375
2025-10-24,46811.51171875,47326.73046875,46811.51171875,47207.12109375,47207.12109375
2025-10-27,47412.80078125,47564.51953125,47375.9609375,47544.58984375,47544.58984375
2025-10-28,47752.3515625,47943.16015625,47675.69921875,47706.37109375,47706.37109375
2025-10-29,47746.7890625,48040.640625,47448.58984375,47632.0,47632.0
2025-10-30,47446.87890625,48014.921875,47381.91015625,47522.12109375,47522.12109375
2025-10-31,47659.9609375,47718.37890625,47347.28125,47562.87109375,47562.87109375
2025-11-03,47697.328125,47697.328125,47135.9609375,47336.6796875,47336.6796875
2025-11-04,47148.0390625,47274.8984375,46877.05859375,47085.23828125,47085.23828125
2025-11-05,47097.30859375,47460.359375,47041.30859375,47311.0,47311.0
2025-11-06,47255.12109375,47359.2890625,46787.44140625,46912.30078125,46912.30078125
2025-11-07,46797.03125,46996.7109375,46495.62109375,46987.1015625,46987.1015625
2025-11-10,47095.05859375,47412.890625,46934.3515625,47368.62890625,47368.62890625
2025-11-11,47384.51171875,47974.37109375,47384.51171875,47927.9609375,47927.9609375
2025-11-12,48015.7890625,48431.5703125,48015.7890625,48254.8203125,48254.8203125
2025-11-13,48173.921875,48233.25,47411.1015625,47457.21875,47457.21875
2025-11-14,47222.37890625,47380.0703125,46863.05078125,47147.48046875,47147.48046875
2025-11-17,47068.05859375,47202.55859375,46430.26953125,46590.23828125,46590.23828125
2025-11-18,46382.921875,46382.921875,45913.6015625,46091.73828125,46091.73828125
2025-11-19,46138.6796875,46299.12890625,45905.19140625,46138.76953125,46138.76953125
